hostname Sec4_G_R1_NPOE3 Up interfaces :13  , Down interfaces: 13
hostname Admin1_POE_SW3 Up interfaces :38  , Down interfaces: 14
hostname Admin1_POE_SW2 Up interfaces :25  , Down interfaces: 1
hostname Sec1_G_R1_POE1 Up interfaces :26  , Down interfaces: 0
hostname Sec1_G_R1_NPOE2 Up interfaces :25  , Down interfaces: 1
hostname Sec1_G_R1_POE_WIFI Up interfaces :25  , Down interfaces: 1
hostname Sec1_G_R2_POE1 Up interfaces :25  , Down interfaces: 1
hostname Sec1_G_R2_NPOE1 Up interfaces :25  , Down interfaces: 1
hostname Sec1_F_R1_POE1 Up interfaces :48  , Down interfaces: 4
hostname Sec1_F_R1_NPOE2 Up interfaces :25  , Down interfaces: 1
hostname Sec1_F_R2_POE1 Up interfaces :32  , Down interfaces: 20
hostname Sec1_F_npoe2 Up interfaces :25  , Down interfaces: 1
hostname Sec1_S_R1-POE1 Up interfaces :23  , Down interfaces: 3
hostname Sec1_S_R1_POE_WIFI Up interfaces :11  , Down interfaces: 15
hostname Sec1_S_R1_NPOE2 Up interfaces :24  , Down interfaces: 2
hostname Sec1_S_R2_POE1 Up interfaces :23  , Down interfaces: 3
hostname Sec1_S_R2_NPOE1 Up interfaces :14  , Down interfaces: 12
hostname Sec1_S_R2_NPOE2 Up interfaces :24  , Down interfaces: 2
hostname Sec2_G_R1_POE1 Up interfaces :19  , Down interfaces: 7
hostname Sec2_G_R1_NPOE1 Up interfaces :25  , Down interfaces: 1
hostname Sec2_G_R2_POE1 Up interfaces :25  , Down interfaces: 1
hostname Sec2_G_R2_NPOE1 Up interfaces :18  , Down interfaces: 8
hostname Sec2_F_R1_POE1 Up interfaces :22  , Down interfaces: 4
hostname Sec2_F_R1_NPOE1 Up interfaces :25  , Down interfaces: 1
hostname Sec2_F_R1_NOPE2 Up interfaces :25  , Down interfaces: 1
hostname Sec2_S_R1_POE1 Up interfaces :26  , Down interfaces: 0
hostname Sec2_S_R1_NPOE1 Up interfaces :13  , Down interfaces: 13
hostname SEC2_S_R1_POE2 Up interfaces :23  , Down interfaces: 3
hostname Sec2_TH_POE1 Up interfaces :24  , Down interfaces: 2
hostname Sec2_3rd_NPOE1 Up interfaces :15  , Down interfaces: 11
hostname Sec2_TH_NPOE2 Up interfaces :25  , Down interfaces: 1
hostname Sec2_7_R1_POE1 Up interfaces :24  , Down interfaces: 2
hostname Sec2_7_R1_NPOE1 Up interfaces :25  , Down interfaces: 1
hostname Sec2_12_R1_POE1 Up interfaces :23  , Down interfaces: 3
hostname SEC3_GS_R2_POE_SW1 Up interfaces :49  , Down interfaces: 3
hostname SEC3_GS_R2_POE_SW2 Up interfaces :23  , Down interfaces: 3
hostname Sec4_S_R2_NPOE1 Up interfaces :8  , Down interfaces: 18
hostname Sec3_R2_POE_WiFi Up interfaces :25  , Down interfaces: 1
hostname SEC3_GS_R2_nPOE_SW3 Up interfaces :20  , Down interfaces: 6
hostname SEC3_GS_R2_nPOE_SW5 Up interfaces :25  , Down interfaces: 1
hostname SEC3_GS_R1_POE_SW1 Up interfaces :49  , Down interfaces: 3
hostname SEC3_GS_R1_POE_SW2 Up interfaces :23  , Down interfaces: 3
hostname SEC3_GS_R1_nPOE_SW3 Up interfaces :26  , Down interfaces: 0
hostname SEC3_GS_R1_nPOE_SW3 Up interfaces :25  , Down interfaces: 1
hostname Section3_R1_POE_WiFi Up interfaces :23  , Down interfaces: 3
hostname Admin1_nPOE_SW1 Up interfaces :10  , Down interfaces: 16
hostname Sec4_G_R1_POE1 Up interfaces :32  , Down interfaces: 20
hostname Sec4_G_R1_NPOE1 Up interfaces :12  , Down interfaces: 14
hostname Sec4_G_R1_NPOE3 Up interfaces :13  , Down interfaces: 13
hostname Sec4_G_R1_NPOE2 Up interfaces :25  , Down interfaces: 1
hostname Sec4_G_R2_POE1 Up interfaces :20  , Down interfaces: 32
hostname Sec4_G_R2_NPOE2 Up interfaces :25  , Down interfaces: 1
hostname Sec4_G_R2_NPOE1 Up interfaces :16  , Down interfaces: 10
hostname Sec4_F_R1_POE1 Up interfaces :23  , Down interfaces: 3
hostname Sec4_F_R1_NPOE1 Up interfaces :9  , Down interfaces: 17
hostname Sec4_F_R1_NPOE2 Up interfaces :24  , Down interfaces: 2
hostname Sec4_F_R2_POE1 Up interfaces :21  , Down interfaces: 5
hostname Sec4_F_R2_NPOE1 Up interfaces :12  , Down interfaces: 14
hostname Sec4_F_R2_NPOE2 Up interfaces :19  , Down interfaces: 7
hostname Sec4_2nd_R1_POE Up interfaces :22  , Down interfaces: 4
hostname SEC4_S-R1_1 Up interfaces :8  , Down interfaces: 18
hostname Sec4_S_R1_NPOE2 Up interfaces :22  , Down interfaces: 4
hostname Sec4_S_R2_POE1 Up interfaces :25  , Down interfaces: 1
hostname Sec4_S_R2_NPOE2 Up interfaces :25  , Down interfaces: 1
hostname Admin1_POE_SW1 Up interfaces :20  , Down interfaces: 6
hostname Admin2_POE_SW1 Up interfaces :38  , Down interfaces: 14
hostname Theater Up interfaces :25  , Down interfaces: 1
hostname TUI Up interfaces :8  , Down interfaces: 18
hostname Sport-BAR Up interfaces :23  , Down interfaces: 3
hostname Villa1-POE Up interfaces :34  , Down interfaces: 18
hostname Villa3 Up interfaces :10  , Down interfaces: 16
hostname FoodCourt Up interfaces :9  , Down interfaces: 17
hostname StaffHousing-POE Up interfaces :25  , Down interfaces: 1
hostname Adult_Bar Up interfaces :3  , Down interfaces: 23
hostname Tiran-Diner Up interfaces :25  , Down interfaces: 1
hostname MainGate Up interfaces :3  , Down interfaces: 23
